route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
114-20781,2026MA-1PUBCUT-Weekday-04,73220233,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220235,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220236,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220237,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220240,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
113-20781,2026MA-1PUBCUT-Weekday-04,73220241,"CROWFOOT STATION/SCENIC ACRES",1,7060405,1130022
113-20781,2026MA-1PUBCUT-Weekday-04,73220242,"NORTH RANCHLANDS",0,7060405,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220243,"CROWFOOT STATION/SCENIC ACRES",1,7060405,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220244,"NORTH RANCHLANDS",0,7060405,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220245,"CROWFOOT STATION/SCENIC ACRES",1,7060405,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220246,"NORTH RANCHLANDS",0,7060405,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220247,"CROWFOOT STATION/SCENIC ACRES",1,7060927,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220248,"NORTH RANCHLANDS",0,7060927,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220249,"CROWFOOT STATION/SCENIC ACRES",1,7060927,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220250,"NORTH RANCHLANDS",0,7060927,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220251,"CROWFOOT STATION/SCENIC ACRES",1,7060927,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220252,"NORTH RANCHLANDS",0,7060927,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220253,"CROWFOOT STATION/SCENIC ACRES",1,7060927,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220254,"NORTH RANCHLANDS",0,7060927,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220255,"CROWFOOT STATION/SCENIC ACRES",1,7060927,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220256,"CROWFOOT STATION/SCENIC ACRES",1,7060927,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220257,"NORTH RANCHLANDS",0,7060927,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220258,"NORTH RANCHLANDS",0,7060402,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220259,"CROWFOOT STATION/SCENIC ACRES",1,7060402,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220260,"NORTH RANCHLANDS",0,7060927,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220261,"NORTH RANCHLANDS",0,7060402,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220262,"CROWFOOT STATION/SCENIC ACRES",1,7060402,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220263,"NORTH RANCHLANDS",0,7060402,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220264,"CROWFOOT STATION/SCENIC ACRES",1,7060402,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220265,"NORTH RANCHLANDS",0,7060928,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220266,"CROWFOOT STATION/SCENIC ACRES",1,7060928,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220267,"CROWFOOT STATION/SCENIC ACRES",1,7060928,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220268,"NORTH RANCHLANDS",0,7060928,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220269,"CROWFOOT STATION/SCENIC ACRES",1,7060928,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220270,"NORTH RANCHLANDS",0,7060928,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220271,"NORTH RANCHLANDS",0,7060928,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220272,"CROWFOOT STATION/SCENIC ACRES",1,7060928,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220273,"NORTH RANCHLANDS",0,7060928,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220274,"CROWFOOT STATION/SCENIC ACRES",1,7060928,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220275,"NORTH RANCHLANDS",0,7060928,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220276,"CROWFOOT STATION/SCENIC ACRES",1,7060928,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220277,"NORTH RANCHLANDS",0,7060444,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220278,"CROWFOOT STATION/SCENIC ACRES",1,7060444,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220279,"NORTH RANCHLANDS",0,7060372,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220280,"CROWFOOT STATION/SCENIC ACRES",1,7060372,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220281,"NORTH RANCHLANDS",0,7060372,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220282,"CROWFOOT STATION/SCENIC ACRES",1,7060930,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220283,"NORTH RANCHLANDS",0,7060930,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220284,"CROWFOOT STATION/SCENIC ACRES",1,7060930,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220285,"NORTH RANCHLANDS",0,7060930,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220286,"CROWFOOT STATION/SCENIC ACRES",1,7060930,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220287,"NORTH RANCHLANDS",0,7060930,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220288,"CROWFOOT STATION/SCENIC ACRES",1,7060930,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220289,"NORTH RANCHLANDS",0,7060930,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220290,"CROWFOOT STATION/SCENIC ACRES",1,7060930,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220291,"NORTH RANCHLANDS",0,7060930,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220292,"CROWFOOT STATION/SCENIC ACRES",1,7060930,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220293,"CROWFOOT STATION/SCENIC ACRES",1,7060202,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220294,"NORTH RANCHLANDS",0,7060202,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220295,"CROWFOOT STATION/SCENIC ACRES",1,7060202,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220296,"NORTH RANCHLANDS",0,7060202,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220297,"CROWFOOT STATION/SCENIC ACRES",1,7060929,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220298,"NORTH RANCHLANDS",0,7060929,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220299,"CROWFOOT STATION/SCENIC ACRES",1,7060929,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220300,"NORTH RANCHLANDS",0,7060929,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220301,"CROWFOOT STATION/SCENIC ACRES",1,7060929,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220302,"NORTH RANCHLANDS",0,7060929,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220303,"CROWFOOT STATION/SCENIC ACRES",1,7060929,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220304,"CROWFOOT STATION/SCENIC ACRES",1,7060929,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220305,"NORTH RANCHLANDS",0,7060929,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220306,"CROWFOOT STATION/SCENIC ACRES",1,7060929,1130020
113-20781,2026MA-1PUBCUT-Weekday-04,73220307,"NORTH RANCHLANDS",0,7060929,1130021
113-20781,2026MA-1PUBCUT-Weekday-04,73220308,"NORTH RANCHLANDS",0,7060929,1130021
